bosnian,english,partOfSpeech,day
"Baščaršija","Baščaršija (old bazaar)","proper noun",1
"čaj","tea","noun",1
"ćup","jar","noun",1
"da","yes","particle",1
"dobar dan","good day","phrase",1
"dobra večer","good evening","phrase",1
"dobro jutro","good morning","phrase",1
"doviđenja","goodbye","interjection",1
"džezva","coffee pot (cezve)","noun",1
"đak","pupil","noun",1
"hvala","thank you","interjection",1
"molim","please / you're welcome","interjection",1
"ne","no","particle",1
"Sarajevo","Sarajevo","proper noun",1
"šuma","forest","noun",1
"ulica","street","noun",1
"zdravo","hello (informal)","interjection",1
"žena","woman / wife","noun",1
